DATA,Velocità media (m/s),Velocità raffica (m/s),Settore prevalente,Tempo permanenza (min),Durata calma (min),Vento classe
1991-11-28,1.7,4.6,ENE,430,0,M00000
1991-11-29,1.6,5.4,E,730,50,M00000
1991-11-30,2.4,6.7,ENE,500,10,M*****
1991-12-01,1.6,6.0,ENE,490,70,M00000
1991-12-02,1.9,6.5,ENE,480,30,M00000
1991-12-03,2.8,6.2,ENE,580,50,M00000
1991-12-04,2.3,5.4,ENE,580,20,M00000
1991-12-05,2.7,10.1,E,340,20,M00000
1991-12-06,1.5,6.4,E,420,40,M00000
1991-12-07,2.1,6.2,ENE,580,30,M00000
1991-12-08,1.3,4.7,E,440,80,M00000
1991-12-09,1.0,3.4,E,360,210,M00000
1991-12-10,1.2,3.7,E,530,60,M00000
1991-12-11,1.7,6.2,ENE,460,100,M00000
1991-12-12,3.2,7.3,ENE,680,0,M00000
1991-12-13,3.4,5.7,E,970,0,M00000
1991-12-14,2.8,5.8,E,760,10,M00000
1991-12-15,2.4,5.3,E,830,0,M00000
1991-12-16,2.1,5.0,E,450,30,M00000
1991-12-17,2.1,7.6,E,410,30,M00000
1991-12-18,6.4,21.7,W,680,0,M*****
1991-12-19,6.3,17.8,SW,680,0,M00000
1991-12-20,6.4,23.7,WSW,760,0,M00000
1991-12-21,7.1,15.4,WSW,1040,0,M00000
1991-12-22,4.9,34.8,WNW,360,10,M00000
1991-12-23,3.4,12.6,SW,370,0,M00000
1991-12-24,3.4,16.1,SW,330,0,M00000
1991-12-25,2.0,5.5,ENE,430,20,M00000
1991-12-26,3.0,11.6,WSW,310,10,M00000
1991-12-27,3.2,21.3,SSW,210,0,M00000
1991-12-28,1.5,6.0,ENE,400,90,M00000
1991-12-29,1.6,5.5,ENE,600,210,M00000
1991-12-30,2.7,5.4,ENE,550,10,M00000
1991-12-31,2.5,4.9,ENE,630,30,M*****
1992-01-01,2.4,5.0,ENE,650,0,M00000
1992-01-02,2.4,5.4,ENE,590,50,M00000
1992-01-03,2.4,5.4,E,560,0,M00000
1992-01-04,1.9,4.9,E,330,30,M00000
1992-01-05,1.4,4.3,ENE,570,70,M00000
1992-01-06,1.9,5.3,E,600,30,M00000
1992-01-07,2.2,5.5,ESE,390,0,M00000
1992-01-08,1.4,6.7,S,200,130,M00000
1992-01-09,0.6,5.9,W,170,540,M00000
1992-01-10,1.2,6.0,S,210,120,M00000
1992-01-11,1.5,7.1,E,280,80,M00000
1992-01-12,1.7,4.6,E,610,60,M00000
1992-01-13,2.4,5.3,E,610,60,M00000
1992-01-14,3.3,6.7,ENE,680,10,M00000
1992-01-15,3.0,6.2,ENE,600,10,M00000
1992-01-16,2.7,6.5,ENE,630,10,M00000
1992-01-17,3.2,7.6,ENE,680,20,M00000
1992-01-18,2.9,6.2,E,540,0,M00000
1992-01-19,2.3,10.4,E,350,40,M00000
1992-01-20,1.9,8.1,ESE,310,50,M00**0
1992-01-21,1.3,6.8,WSW,300,140,M00000
1992-01-22,2.0,8.0,N,320,20,M00000
1992-01-23,1.5,7.4,E,450,10,M00000
1992-01-24,1.9,6.4,E,640,10,M00000
1992-01-25,1.4,5.6,ENE,440,220,M*****
1992-01-26,3.3,6.0,ENE,860,0,M*****
1992-01-27,3.0,7.0,ENE,510,0,M00000
1992-01-28,2.4,7.4,E,460,60,M*****
1992-01-29,2.8,6.3,E,760,0,M00000
1992-01-30,3.2,7.2,E,680,20,M00000
1992-01-31,2.8,6.4,E,530,50,M*****
1992-02-01,3.0,6.4,ENE,650,10,M00000
1992-02-02,1.9,6.6,E,350,0,M*****
1992-02-03,4.5,20.4,SW,310,0,M00000
1992-02-04,6.3,24.6,SSW,420,0,M00000
1992-02-05,4.6,14.3,SW,400,10,M00000
1992-02-06,2.1,10.9,E,280,30,M00000
1992-02-07,2.3,5.4,ENE,610,10,M00000
1992-02-08,2.2,5.2,ENE,570,70,M00000
1992-02-09,1.9,6.0,SE,250,20,M00000
1992-02-10,3.6,13.3,SW,420,10,M*****
1992-02-11,1.7,8.1,N,240,10,M00000
1992-02-12,2.1,10.4,WSW,280,60,M00000
1992-02-13,0.9,8.3,SSW,230,320,M00000
